ts,listing_key,kodagar,antal_sokande
2026-07-01T08:44:53+02:00,3622-9910-047__2026-06-29,315,5
2026-07-01T08:44:53+02:00,4210-0113-001__2026-06-29,108,2
2026-07-01T08:44:53+02:00,4415-0104-001__2026-06-29,468,5
2026-07-01T08:44:53+02:00,4602-2001-1005__2026-06-29,36,1
2026-07-01T08:44:53+02:00,5201-0509-002__2026-06-29,717,3
2026-07-01T08:44:53+02:00,7202-5706-106__2026-06-29,277,1
2026-07-01T08:44:53+02:00,7202-5302-105__2026-06-29,33,1
2026-07-01T08:44:53+02:00,6202-2104-1202__2026-06-29,49,2
2026-07-01T08:44:53+02:00,7202-6106-107__2026-06-29,277,1
2026-07-01T08:44:53+02:00,1106-2103-011__2026-06-29,90,5
2026-07-01T08:44:53+02:00,1106-2105-012__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1106-2106-009__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1106-2107-016__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1106-2108-013__2026-06-29,90,3
2026-07-01T08:44:53+02:00,1106-2302-007__2026-06-29,90,5
2026-07-01T08:44:53+02:00,1106-2303-010__2026-06-29,90,3
2026-07-01T08:44:53+02:00,1106-2304-011__2026-06-29,90,3
2026-07-01T08:44:53+02:00,1106-2305-013__2026-06-29,90,5
2026-07-01T08:44:53+02:00,1106-2307-013__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1106-2505-008__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1106-2506-005__2026-06-29,90,3
2026-07-01T08:44:53+02:00,1106-2507-009__2026-06-29,90,3
2026-07-01T08:44:53+02:00,1106-2509-007__2026-06-29,90,4
2026-07-01T08:44:53+02:00,1202-0902-003__2026-06-29,89,3
2026-07-01T08:44:53+02:00,1202-1111-004__2026-06-29,1497,8
2026-07-01T08:44:53+02:00,1202-1105-006__2026-06-29,885,13
2026-07-01T08:44:53+02:00,1407-6603-009__2026-06-29,165,2
2026-07-01T08:44:53+02:00,1407-6604-014__2026-06-29,90,2
2026-07-01T08:44:53+02:00,1407-6605-020__2026-06-29,165,2
2026-07-01T08:44:53+02:00,1407-6606-011__2026-06-29,90,2
